ID_Compra_Material;ID_Compra;ID_Material;Cantidad_Material
1;49;2;13
2;39;15;19
3;14;12;3
4;16;16;3
5;27;20;3
6;1;13;15
7;46;7;14
8;41;6;10
9;8;20;3
10;31;16;14
11;50;4;17
12;11;17;8
13;2;9;16
14;3;8;11
15;44;5;9
16;45;8;8
17;28;11;14
18;37;4;15
19;35;19;12
20;36;3;16
21;13;13;18
22;32;2;19
23;22;8;17
24;7;6;10
25;34;1;14
26;33;15;18
27;18;3;16
28;6;7;7
29;4;7;9
30;38;8;14
31;12;20;20
32;10;15;6
33;29;5;12
34;15;12;15
35;23;15;2
36;9;3;16
37;19;19;12
38;26;19;7
39;5;17;11
40;40;7;19
41;42;14;10
42;30;8;17
43;43;20;15
44;17;14;16
45;25;8;2
46;21;12;18
47;24;14;2
48;20;3;1
49;47;3;6
50;48;7;10
51;37;7;13
52;50;14;6
53;26;7;15
54;9;20;15
55;46;4;15
56;14;1;4
57;44;20;20
58;27;15;18
59;41;6;7
60;31;8;8
61;28;9;14
62;49;15;18
63;1;2;9
64;39;19;3
65;12;18;17
66;2;4;14
67;15;7;16
68;40;4;15
69;5;9;4
70;20;4;3
71;30;12;12
72;29;18;7
73;10;8;8
74;24;19;7
75;17;3;5
76;6;20;17
77;45;3;18
78;36;7;4
79;7;8;5
80;4;9;4
